Book,Category,Section #,Section Name,Section Title,Subsection Type,Subsection Title,Content Type,Content,Content_Num,Author,Image,Source
Hacktivism,Techonology,,,,,,Intro Quote,"""Designing the employee's experience is more than applying flexible working hours and provide cool office spaces.""",1,Jacob Morgan,,
Hacktivism,Techonology,1,Facts and figures,Hacktivism,,,Section Description,"In the recent past, people used to adapt office space to work at their best; now they reshape their time to work in a way that suits them.",2,,,
Hacktivism,Techonology,1,Facts and figures,Hacktivism,,,Section Intro,"Hacking is the practice of modifying a process to accomplish a goal beyond the creator’s original objective. firstly used to describe often illegal activities, now it is widely applied to all individuals who possess exceptional skills and understanding of a system to adjust it according to their needs and desires.",3,,,
Hacktivism,Techonology,1,Facts and figures,Hacktivism,,,Body Copy,"Workplaces are built on human capital. They represent the place in which an organization expresses its common interests, purposes and visions. Where solidarity, reciprocity and resource sharing are embodied for the benefit of everybody.

According to Robert Putnam1, two different kinds of social capital exist. The first is the based on the relationships between homogenous groups, such as members of the same family or tribes and it is known as “bonding social capital”. The second is based on the positive interactions between hetereogeneous groups of people, such as ethnic groups or generations and it is known as “bridging social capital”.
In Putnam’s vision, the traditional organization could always rely on its bonding social capital. It was the glue that held the company together, fostering a sense of belonging and establishing shared values. But the forces of globalisation, demographic upheavals and the digital revolution has limited its influence. An increasingly diverse and disparate workforce has shifted the emphasis towards a greater balance between boding and bridging capital. So, a sense of belonging to a team becomes more important to flexible workers and freelancers while the sense of belonging to the organization depends on conecting teams harmoniously.

Research and experience show us that firms are already team based. They form naturally as teams focusing on sales, manufacturing, retail, product development, service and geographically independent divisions. The challenge is how to coordinate and align these teams, encouraging them to share ideas and information, work together and how we adapt to a new structure that is less focused on upward mobility and more on the development of leadership based on positional power2.

Josh Bersin, founder of Bersin by Deloitte, has underlined the importance of developing the ways in which teams work together and how to create well-balanced human capital as the primary goal of organizational design. This is mainly reflected in the capability of an organization to attract and retain the best talent, to allow them to work in the best possible way and to support them with the most engaging work settings, in terms of space, tools and resources.

“The new organization of today requires us to rethink leadership strategy, focus on culture and engagement, deliver on-demand organizational learning, and provide information centers, analytics, and digital HR tools to help people operate, share information, and work together well”3, he said.

An important aspect of the evolution in the way teams work together, is related to the way workers are included in decision making. The important thing is to avoid top-down impositions and offer the freedom to organise work to better match their work-life balance. Companies which do so have created a better working culture and are more able to adapt to new market conditions4. The interest in flatter organizations, which once was restricted to the tech industries, is rapidly spreading to all other sectors. Attracting new talent is still the strongest motivation for companies to invest in dynamic workplaces. Individuals have the choice to decide where, how and for how long they work. The basis on which they make such choices are diverse and no longer limited to attaining the best salary or career path.choice to decide where, how and how long they work and the drivers upon which they choose are very diverse and not only limited to the best salary or carrier path.

Back in 2006 before the last recession, “The Future of Work” research project from The Workplace Intelligence Unit found that there are at least 10 psychological drivers of workforce productivity which are typically more effective than financial rewards. These drivers - meaning, values, optimism, collaboration, confidence, individualism, autonomy, originality, goals and recognition (see table opposite) - represent the various reasons why employees feel satisfied and engaged in a particular company.

The last ten years have taught us that these factors are not permanent. They change over time as an employee’s needs, expectations and desires change. They also change in line with demographic and cultural changes in the workforce.

This is just as true for freelance and flexible workers as it is for permanent staff. Research shows that the vast majority of organizations (83 percent) consider their part time and contracted staff to be just as productive as full time employees5.

Among the drivers identified, those aspects which support a better work life balance and more flexibility have become increasingly important. This is less a gender based issue with both men and women asking for more time to spend with their families.

As life and work become increasingly integrated, the workers are looking to find new and better ways to balance their professional and personal commitments, asking for better working environments, for more freedom of choice and for the possibility of defining their own professional goals. These dynamics are changing the role of engagement. It is no longer a goal in its own right but a means to create a working experience which positively blurs the lines between private and public life as well as those between individuals, the company and the society.

They are seeking an experience in which their personal fulfillment goes hand in hand with the development of a workplace culture that is respectful of differences in characteristics like age, gender and culture, and that sees the employee not only as a person with skills and competences for the service of the company, but also as an agent of change, a person with healthy links to society and the world outside.

In this scenario, the idea of flexibility is not simply about the capability of the workplace to respond to change, but also the way the company embraces and manages the cultural and wider social changes it should adopt to meet the needs of individuals. “Hierarchical organizational models aren’t just being turned upside down — they’re being deconstructed from the inside out”6.

Technology has a great role to play in this change, but companies mainly need a cultural change: they need to include employees in the process of defining and deciding the company’s goals, allowing them to share their day-to-day experience with the management and participating in the creation of a flatter and flatter organization. Employees need to develop new skills, too.

More freedom at work brings responsibilities and opportunities such as the chance to manage time in a better way or collaborate with other team members to achieve shared goals. By developing such skills, employees gain the power to ""hack"" their working lives to following their personal preferences7, to pursue personal goals, propose new ideas or volunteer in social projects.

Increasingly these projects are welcomed by companies because they represent new forms of civic participation or activism that creates a sense of community within employees. In many cases the companies themselves propose cultural or social programs in which everybody is free to participate. “When individuals feel strongly about a company’s performance on social or environmental issue, one small voice can quickly become a swarm, difficult for even the most shielded executive to ignore”, says Jen Boynton8.

Connecting social issues with the business is a visible sign of a company which embraces democratization, takes care of its employees and bravely face new challenges. “Today our social investments focus on providing access to medicines and building health care capacity for those most in need"", said Caroline Roan, president of the Pfizer Foundation""9.

Making the world a better place” and “doing business” are no more seen as a different goals, as well as putting “the interests and priorities of the employees ahead of customers and shareholders” as millennials are largely entering in the workforce and the old fashion CSR mindset is transformed into “active business citizenship”10.

A paradigm shift based on the belief that higher profits and better products and services are generated by the links between business, community and actively engaged employees. A shift that transforms work from something in which employees do their best, to something in which they be their best.

NOTES
1 Putnam R., “Bowling Alone”, 2000.
2 Bersin J., “New Research Shows Why Focus On Teams (...)”, on Forbes. com, 2016
3 Idem
4 Hu E., “Inside the Bossless Office, where the team takes charge”, on www.npr.org, 2013
5 “2016 Workforce Productivity Report”, WorkMarket + KRC Research, 2016
6 McDowell T. et al., “Organizational Design: the raise of teams”, Deloitte, 2016
7 “Workers are increasingly looking to “design” the perfect balance between their personal and professional lives - and having a boss who will support them is a differentiator in their employment choice” in “Kelly Global Workforce Index”, 2015
8 Boynton J., “How the voice of the People is driving CSR”, in Harvard Business Review, 2013
9 “In the future companies will survive only if they help solve big social problems “ in www.forbes.com, 2014
10 “The future of business citizenship”, www.mslgroup.com",4,,,
Hacktivism,Techonology,1,Facts and figures,Hacktivism,,,Quote,"Cultural entropy is the degree of dysfunction, fear and negative energy in an organization or any human group structure that is generated by the self-serving, fear-based actions of a leader. ",5,"Sandja Brugman, The Passion Institute",,
Hacktivism,Techonology,1,Facts and figures,Hacktivism,,,Quote,"""The new mode of organization - a ""network of teams"" with a high degree of empowerment, strong communication and rapid information flow - is now sweeping businesses and governments around the world""",6,"""Global Human Capital Trends"" Deloitte, 2016",,
Hacktivism,Techonology,1,Facts and figures,Hacktivism,,,Quote,"Employee participation and involvement are different. the former is fostering a team approach, where projects are managed by sharing activities among a group of co-employees with the same goal. the latter usually implies a one-to-one approach between the employee and the management.",7,"Juliette Summers, Joseph Rowtree Foundation",,
Hacktivism,Techonology,1,Facts and figures,Hacktivism,,,Quote,Workers are increasingly looking to “design” the perfect balance between their personal and professional lives - and having a boss who will support them is a differentiator in their employment choice”.,8,"Kelly, ""Kelly Global Workforce Index"",2015",,
Hacktivism,Techonology,1,Facts and figures,Hacktivism,,,Photo,,9,,https://drive.google.com/file/d/1GqBuip7p2uO5wv0Qm3GpBPKkqqLXMzeb/view?usp=sharing,
Hacktivism,Techonology,1,Facts and figures,Hacktivism,,,Photo,,10,,https://drive.google.com/file/d/1Q_DSnJ6mQFhcGrSiZggxqWKpxAFLRlpa/view?usp=sharing,
